Márka,Típus,Évjárat,Napi ár (HUF)
Toyota,RAV4,2018,21048
Toyota,Yaris,2016,23746
Hyundai,i30,2023,22802
Audi,Q5,2002,8002
Honda,Accord,2002,9401
Hyundai,i30,2019,19254
Audi,A3,2004,17980
Honda,Accord,2007,10155
Peugeot,308,2009,15832
Toyota,Camry,2000,23564
BMW,M3,2017,9630
Nissan,Altima,2004,10144
Hyundai,Tucson,2004,20316
Nissan,Qashqai,2001,5711
Audi,A4,2012,14554
Mercedes,E-Class,2003,13841
Volkswagen,Passat,2017,19335
Audi,A4,2007,11993
Audi,A3,2019,17637
Audi,A4,2018,9457
Peugeot,2008,2014,10431
Audi,Q7,2023,21451
Mercedes,GLC,2021,9717
Mercedes,C-Class,2023,18328
Ford,Fiesta,2020,15367
Ford,Focus,2017,15109
BMW,M3,2006,17789
Hyundai,Santa Fe,2023,17700
BMW,X5,2001,18340
Audi,A4,2009,22383
Audi,Q7,2012,17788
Hyundai,Tucson,2014,11054
Mercedes,A-Class,2001,20761
BMW,M3,2019,11520
Peugeot,208,2019,13205
Audi,A4,2011,16270
Peugeot,308,2000,13774
Mercedes,E-Class,2018,15415
BMW,X3,2012,12103
Nissan,Altima,2001,16689
Ford,Fiesta,2014,5829
Volkswagen,Golf,2018,12634
BMW,320i,2011,10679
Audi,Q5,2019,11676
Honda,Fit,2016,20225
Ford,Mustang,2022,24137
Honda,Accord,2023,24952
Hyundai,Tucson,2014,13837
Ford,Focus,2008,18057
Volkswagen,Tiguan,2011,6412
Toyota,Yaris,2005,8145
Volkswagen,Polo,2011,10631
Honda,Civic,2018,8389
Hyundai,Tucson,2000,6483
Peugeot,208,2012,15846
Hyundai,i20,2006,17620
Toyota,Corolla,2006,5633
Honda,Fit,2010,18669
BMW,320i,2022,14005
Honda,Accord,2017,14583
Audi,A4,2021,14546
Honda,Fit,2005,24580
Hyundai,Tucson,2006,20035
BMW,M3,2018,18018
Toyota,Yaris,2009,8541
Mercedes,E-Class,2010,10668
Mercedes,A-Class,2023,20321
Mercedes,C-Class,2014,13678
Mercedes,E-Class,2001,15095
Mercedes,C-Class,2015,9829
Audi,Q5,2001,6822
Audi,A3,2020,9537
BMW,X5,2013,24704
Honda,Accord,2009,24984
Mercedes,GLC,2002,14335
Audi,Q7,2009,16961
Nissan,Altima,2004,20367
Honda,Civic,2015,13909
Peugeot,208,2019,8772
Peugeot,208,2006,11332
Nissan,X-Trail,2012,6775
Toyota,Camry,2014,10239
Peugeot,308,2005,21216
Mercedes,C-Class,2011,10714
BMW,M3,2013,16802
Peugeot,508,2013,21623
Mercedes,C-Class,2018,19390
Honda,Fit,2009,18762
BMW,320i,2016,19703
Honda,Civic,2015,7951
Hyundai,i20,2001,17586
Hyundai,Santa Fe,2011,10761
Audi,Q7,2017,24024
Ford,Mustang,2017,13523
Ford,Mustang,2023,21376
Nissan,Qashqai,2015,20919
Ford,Fiesta,2003,14560
Volkswagen,Golf,2015,15040
BMW,320i,2005,24063
Hyundai,i30,2020,13845
Hyundai,i30,2021,16771
Audi,Q7,2012,22013
Volkswagen,Golf,2015,13276
Mercedes,A-Class,2020,8614
Hyundai,Santa Fe,2013,5799
Nissan,Micra,2000,11525
Hyundai,Tucson,2005,15661
BMW,X3,2004,24824
Toyota,Camry,2006,16649
Audi,A4,2004,12981
Peugeot,508,2018,24350
Ford,Focus,2005,18541
Volkswagen,Polo,2013,22217
Honda,CR-V,2014,24166
Volkswagen,Tiguan,2012,9733
BMW,X3,2000,7146
BMW,X3,2012,18929
Mercedes,A-Class,2009,5333
Nissan,Qashqai,2016,19471
Hyundai,Santa Fe,2002,11646
Audi,A3,2002,8513
Nissan,X-Trail,2020,20711
Hyundai,i20,2023,12479
Audi,Q7,2019,5710
Volkswagen,Golf,2003,14457
Peugeot,2008,2009,7958
BMW,X3,2022,7541
Hyundai,i20,2013,16968
Audi,A3,2000,18359
Honda,Accord,2003,12011
Toyota,Camry,2009,7129
BMW,320i,2005,16710
Volkswagen,Polo,2012,7604
Volkswagen,Passat,2009,18034
Peugeot,2008,2021,8486
Peugeot,208,2016,19094
Peugeot,2008,2010,20029
Toyota,Corolla,2002,8444
Ford,Focus,2014,18805
Ford,Fiesta,2014,11395
Toyota,Yaris,2023,18784
Ford,Mustang,2016,18689
Ford,Focus,2010,9539
Toyota,Yaris,2010,18648
Audi,A4,2003,7906
Hyundai,Santa Fe,2007,6933
Hyundai,i20,2010,18496
Ford,Focus,2007,23333
Peugeot,508,2003,11654
Toyota,Camry,2014,22930
Toyota,Camry,2020,17121
Honda,Civic,2020,14258
Nissan,Micra,2007,16730
Honda,Civic,2005,18505
BMW,X5,2022,5232
Nissan,Qashqai,2001,13139
Peugeot,508,2015,8365
Toyota,Yaris,2013,10972
BMW,X5,2010,7587
Mercedes,E-Class,2016,11654
Nissan,X-Trail,2013,24368
Mercedes,E-Class,2015,18532
BMW,X3,2017,15309
Hyundai,i30,2011,13282
Peugeot,508,2002,21374
Toyota,RAV4,2005,17417
Hyundai,i30,2010,10230
Mercedes,A-Class,2011,15618
Ford,Focus,2004,5415
Toyota,Yaris,2009,10232
Toyota,Corolla,2016,6292
Hyundai,i20,2007,5668
BMW,X5,2022,19885
Toyota,Corolla,2001,9819
Honda,CR-V,2022,15252
Ford,Explorer,2010,12310
Hyundai,i30,2007,8673
Honda,Fit,2001,6159
Nissan,X-Trail,2012,18174
Peugeot,2008,2015,22709
BMW,X5,2012,6257
Nissan,Altima,2004,13078
Nissan,X-Trail,2005,23635
Hyundai,i30,2000,24283
Mercedes,GLC,2019,24829
Hyundai,i30,2019,18794
Nissan,Qashqai,2015,17232
Volkswagen,Polo,2014,6105
Nissan,X-Trail,2000,9054
Volkswagen,Golf,2000,12974
Volkswagen,Golf,2023,7541
Ford,Mustang,2011,10900
Mercedes,GLC,2007,10710
Hyundai,Tucson,2017,23771
Ford,Mustang,2017,18216
Ford,Fiesta,2010,12720
Toyota,RAV4,2005,8186
Ford,Focus,2002,7543
Audi,Q7,2019,21444
Mercedes,E-Class,2000,11920
Peugeot,508,2019,8974
Nissan,Altima,2020,5606
Peugeot,508,2021,18884
Audi,Q5,2021,14112
Honda,Accord,2001,7632
Honda,Civic,2003,24196
Honda,Accord,2015,12469
Audi,A4,2001,5135
Mercedes,GLC,2006,17742
Volkswagen,Golf,2016,19498
Hyundai,i30,2015,10526
Audi,A3,2020,9008
BMW,320i,2000,6636
Volkswagen,Tiguan,2001,13783
Volkswagen,Tiguan,2009,6827
Nissan,Micra,2021,18747
Audi,Q7,2010,10224
Hyundai,i20,2007,6408
Toyota,Yaris,2010,15269
Ford,Explorer,2002,5634
Mercedes,E-Class,2006,22650
BMW,X5,2001,18743
Peugeot,2008,2012,22857
Ford,Focus,2018,13590
Mercedes,GLC,2003,20848
Ford,Explorer,2010,24564
Honda,Fit,2020,5552
Honda,Fit,2023,12019
Mercedes,A-Class,2019,17937
BMW,X3,2003,8226
BMW,X5,2010,17357
Peugeot,308,2013,19035
Audi,Q7,2012,20171
Nissan,Qashqai,2020,16245
Audi,Q5,2011,20536
Ford,Fiesta,2006,20854
Hyundai,i20,2013,6258
Toyota,RAV4,2018,23486
Audi,Q7,2016,8452
Nissan,X-Trail,2022,21915
Nissan,Altima,2000,20225
Peugeot,308,2009,10991
BMW,M3,2006,17113
Peugeot,208,2004,6393
Honda,Accord,2008,16823
Peugeot,2008,2015,8436
Peugeot,208,2017,24066
BMW,M3,2022,22357
Volkswagen,Tiguan,2002,9483
Volkswagen,Golf,2000,11150
Mercedes,GLC,2018,15463
BMW,X5,2023,14340
Hyundai,i20,2021,20636
Volkswagen,Passat,2002,21610
Toyota,RAV4,2020,13248
Honda,Fit,2004,8470
Honda,Accord,2023,22231
BMW,320i,2008,12843
Mercedes,E-Class,2014,7785
Peugeot,508,2018,13442
Hyundai,Santa Fe,2009,5002
Nissan,Qashqai,2023,18511
Peugeot,508,2006,8729
Audi,A4,2010,15128
Hyundai,Tucson,2011,19390
Ford,Mustang,2012,22099
Ford,Explorer,2022,7906
Mercedes,E-Class,2017,16504
Audi,A3,2017,7453
Honda,CR-V,2007,23242
Volkswagen,Golf,2006,15024
Ford,Mustang,2009,14573
Honda,Civic,2003,13299
Mercedes,E-Class,2008,23453
Hyundai,Santa Fe,2008,10827
Audi,Q7,2020,16072
Mercedes,C-Class,2001,19934
BMW,320i,2022,19219
Hyundai,i20,2005,22751
Mercedes,GLC,2011,5208
Volkswagen,Passat,2017,13771
Volkswagen,Passat,2013,16560
Audi,A4,2010,13041
Toyota,Camry,2019,13252
Audi,Q7,2015,15310
Hyundai,i20,2000,6500
Toyota,Camry,2000,16371
Hyundai,i20,2020,8567
Toyota,RAV4,2007,19209
Volkswagen,Golf,2010,22225
Ford,Explorer,2004,18070
Audi,A4,2000,22243
Ford,Focus,2013,5320
Nissan,Qashqai,2000,22794
Volkswagen,Tiguan,2012,10505
Volkswagen,Tiguan,2001,19380
Mercedes,A-Class,2005,23624
Ford,Mustang,2018,16198
BMW,320i,2001,20342
Hyundai,Santa Fe,2010,22790
Peugeot,2008,2017,9747
Mercedes,A-Class,2017,13837
Ford,Focus,2007,15326
Hyundai,Tucson,2018,24102
Honda,Civic,2002,7801
Nissan,Qashqai,2018,17125
Volkswagen,Polo,2003,16475
Hyundai,Tucson,2014,15169
Peugeot,308,2016,7259
Nissan,Micra,2016,22052
Ford,Mustang,2022,5911
Mercedes,A-Class,2009,24140
BMW,M3,2023,24235
Audi,Q7,2015,18676
Nissan,Micra,2020,7909
Ford,Focus,2007,21447
Mercedes,C-Class,2022,5060
